,Date,VCB_Close,VIC_Close,VHM_Close,BID_Close,TCB_Close,CTG_Close,HPG_Close,VPB_Close,FPT_Close,MBB_Close
0,20190102,23.1067,89.2556,53.5148,18.4849,12.4134,12.6778,8.1695,6.3315,13.1441,7.2966
1,20190103,23.1067,89.1667,53.2964,17.6572,12.1225,12.0773,7.8247,6.201,13.0165,6.976
2,20190104,23.4516,89.4334,53.8789,17.4089,12.0983,12.2441,7.8777,6.1847,13.1122,7.0138
3,20190107,23.5378,89.789,54.0245,17.8228,12.171,12.1107,7.7849,6.2826,13.3356,7.1457
4,20190108,23.7102,89.789,54.0245,17.6572,12.171,11.9438,7.6523,6.2499,13.3994,7.108
5,20190109,24.0551,90.2335,54.0245,18.209,12.5104,12.2441,7.8247,6.2499,13.527,7.2966
6,20190110,23.7102,90.1446,54.3157,17.9331,12.5104,12.5777,7.9043,6.2663,13.4472,7.2966
7,20190111,23.7965,90.1446,55.7719,17.6021,12.6074,12.5444,7.7849,6.2336,13.4632,7.2589
8,20190114,23.8396,90.1446,56.2816,17.6021,12.5347,12.5444,7.7716,6.2173,13.5589,7.1646
9,20190115,24.0982,90.2335,58.1746,17.9331,12.8499,12.6111,7.7716,6.2826,13.6546,7.3531
10,20190116,23.8827,90.678,58.4659,17.7676,12.8499,12.4777,7.8114,6.4784,13.5748,7.3343
11,20190117,23.7965,90.678,58.1018,17.6296,12.9226,12.3108,7.6655,6.201,13.3994,7.4474
12,20190118,23.624,90.8558,58.6115,17.4917,12.9711,12.144,7.7451,6.2826,13.3994,7.4474
13,20190121,24.0551,91.0336,58.6115,18.1263,13.2863,12.9781,7.838,6.5274,13.5589,7.9188
14,20190122,23.7965,91.0336,57.9562,18.0711,12.9953,13.0448,7.8247,6.4131,13.511,7.7679
15,20190123,23.8827,91.2114,57.9562,18.0435,12.8741,13.3117,7.9706,6.4947,13.511,7.8056
16,20190124,23.8827,91.3892,57.3737,17.9331,12.9226,13.6453,7.9175,6.5926,13.5429,7.9942
17,20190125,24.0551,91.4781,56.7912,17.6848,12.9226,13.4785,7.8777,6.5437,13.527,7.9753
18,20190128,23.9258,92.1893,58.6843,17.6021,12.7044,13.5786,7.891,6.4295,13.4313,7.9376
19,20190129,24.4431,92.3671,59.3396,17.4917,12.8499,13.8455,7.8777,6.5274,13.5589,8.0319
20,20190130,24.4431,92.3671,59.7036,17.4917,12.8983,13.6453,7.6921,6.4947,13.7822,8.2204
21,20190131,24.4862,92.3671,58.2474,17.3813,12.8499,13.1449,7.3473,6.5926,13.7822,8.2581
22,20190201,24.3569,87.8332,58.2474,17.4365,13.1893,13.4118,7.2412,6.5437,13.5908,8.2393
23,20190211,25.0466,92.456,58.1746,17.6296,13.1165,13.8122,7.6655,6.919,14.0853,8.3147
24,20190212,25.2622,96.9899,58.2474,17.9055,13.3105,13.9122,7.8247,6.968,14.0055,8.2958
25,20190213,25.7795,96.901,58.2474,17.9331,13.359,13.9122,8.196,7.0169,14.2129,8.2958
26,20190214,25.9519,100.3681,59.6308,17.8779,13.2378,13.9122,8.2226,6.9353,14.1172,8.3335
27,20190215,25.5639,99.568,59.1211,18.2918,13.2135,13.8789,8.3817,6.9353,14.1012,8.3147
28,20190218,25.8657,101.0793,59.7036,18.4849,13.262,13.9456,8.5276,7.0169,14.165,8.3335
29,20190219,25.4346,103.124,63.3441,18.1538,13.359,13.6787,8.4082,6.919,14.165,8.277
30,20190220,25.4777,103.5685,65.8196,18.7608,13.359,13.7454,8.5409,6.9027,14.3086,8.3147
31,20190221,25.9088,105.2576,70.4066,18.8988,13.3348,13.612,8.6735,6.9843,14.2927,8.3335
32,20190222,26.7279,104.013,67.7854,18.7608,13.4317,14.0791,8.9918,6.968,14.4203,8.4844
33,20190225,27.3314,103.3907,66.9845,18.7608,13.456,14.2125,9.2305,7.0169,14.516,8.4655
34,20190226,27.159,102.6795,66.9845,18.5401,13.3105,14.2459,9.1509,6.9516,14.4203,8.3147
35,20190227,26.6848,104.3686,67.4942,18.5401,13.1893,14.1124,9.1244,6.919,14.3884,8.3147
36,20190228,26.0813,101.346,63.7081,17.9331,12.8499,13.8789,8.9122,6.7558,14.1012,8.1073
37,20190301,26.8141,102.3239,66.2564,18.1263,12.8983,13.8789,9.0846,6.8211,14.2288,8.2204
38,20190304,27.0728,104.3686,67.8582,18.5401,13.0923,14.1458,9.3764,6.9843,14.3565,8.3524
39,20190305,27.159,104.2797,66.2564,19.0919,12.9953,14.1792,9.2968,6.9843,14.3246,8.3524
40,20190306,27.0297,104.6353,66.8389,19.1746,12.9953,14.2125,9.2835,6.9516,14.2288,8.3524
41,20190307,27.2021,105.9688,66.9845,19.2574,12.9711,14.346,9.0448,6.9516,14.2767,8.3713
42,20190308,27.0728,104.9909,66.6205,18.7608,12.7286,14.1458,9.005,6.87,14.2448,8.2393
43,20190311,26.9866,105.1687,65.5284,18.5677,12.7529,14.0791,8.9652,6.8864,14.1969,8.2204
44,20190312,27.935,105.4354,67.203,19.5885,12.9953,14.7463,8.9785,7.0169,14.835,8.5032
45,20190313,28.1074,104.4575,68.4407,19.6437,13.165,15.0466,9.1111,7.1801,14.7393,8.5221
46,20190314,28.8834,105.6132,68.4407,19.9747,13.0438,15.0132,9.0713,7.0822,14.7553,8.4844
47,20190315,28.4523,105.5243,67.9311,20.5265,13.0196,15.1467,8.4613,7.1148,14.6755,8.4844
48,20190318,29.142,107.8357,68.6591,20.5817,13.1165,15.6137,8.448,7.3433,14.7393,8.5786
